exercise_name,matched_video_title,video_url,confidence,needs_review
feet elevated yoga push up,Elevated Yoga Push Up,https://www.youtube.com/watch?v=qBnftxCj6c8,0.80,TRUE
speed bench press,DB Bench Press,https://www.youtube.com/watch?v=vtU7w_hyMa4,0.56,TRUE
Cable tricep extensions,DB Tricep Extensions,https://www.youtube.com/watch?v=3yBziKffkUI,0.61,TRUE
reverse hypers,Reverse Hyper,https://www.youtube.com/watch?v=jDvpy4D_32M,0.57,TRUE
DB loaded reverse lunge,DB Reverse Lunge,https://www.youtube.com/watch?v=WpPDPqCSZoI,0.75,TRUE
ENG hip External Rotations,ENG Hip External Rotations,https://www.youtube.com/watch?v=27NZ79rNFco,1.00,false
walking lunge,Lateral Lunge,https://www.youtube.com/watch?v=w6C-U9OrCrQ,0.42,TRUE
speed ssb box squat,SSB Box Squat,https://www.youtube.com/watch?v=efgDoPBsTtg,0.80,TRUE
prone frc swimmer,,,0.00,TRUE
Speed sumo deadlift,Sumo Deadlift,https://www.youtube.com/watch?v=3t1-PmGjfNQ,0.67,TRUE
seated high cable pull,High Cable Pull,https://www.youtube.com/watch?v=3694cgLt5aI,0.72,TRUE
sa db row from bench,SA DB Row,https://www.youtube.com/watch?v=NUSVbpODY3k,0.67,TRUE
prone banded hamstring curls,Prone Banded Hamstring Curl,https://www.youtube.com/watch?v=Wxduvzpm_wA,0.75,TRUE
standing hammer curls,DB Hammer Curls,https://www.youtube.com/watch?v=ESj6wvb-qyk,0.55,TRUE
DB loaded reverse lunges,DB Reverse Lunge,https://www.youtube.com/watch?v=WpPDPqCSZoI,0.53,TRUE
multi grip bench press,Multi Grip Bench Press,https://www.youtube.com/watch?v=l_Riw2NovEk,1.00,false
DB Side Bend,DB Side Bend,https://www.youtube.com/watch?v=zeYcJfyHcII,1.00,false
front foot elevated db split squat,Front Foot Elevated Split Squat Hold,https://www.youtube.com/watch?v=NsbGSLJKpTQ,0.69,TRUE
T-spine windmill w/foam roller,Windmill Stretch with Foam Roller,https://www.youtube.com/watch?v=wUc-V64oSnE,0.46,TRUE
Seated broad jump,Seated Broad Jump,https://www.youtube.com/watch?v=dW3nVjzozkg,1.00,false
Quadruped Shoulder Cars,Quadruped Shoulder CARS,https://www.youtube.com/watch?v=g18n6Hmp7YY,1.00,false
t spine mobs from bench,T Spine Flexion Extension From Bench,https://www.youtube.com/watch?v=k2TTn5h6ORM,0.58,TRUE
lateral lunge with plate raise,Lateral Lunge with Plate Push,https://www.youtube.com/watch?v=ql18x-ECXRs,0.70,TRUE
TRX Ys,TRX Bridges,https://www.youtube.com/watch?v=TzoOmNDtngk,0.68,TRUE
Body Saws,,,0.00,TRUE
loaded shoulder cars,Quadruped Shoulder CARS,https://www.youtube.com/watch?v=g18n6Hmp7YY,0.76,TRUE
1 arm t prone trap raise,,,0.00,TRUE
ENG hip External Rotation,ENG Hip External Rotations,https://www.youtube.com/watch?v=27NZ79rNFco,0.75,TRUE
banded oh press,Banded OH Shoulder Press,https://www.youtube.com/watch?v=0zc-IfZUy74,0.73,TRUE
body saw,,,0.00,TRUE
shoulder extension holds,Shoulder Touches,https://www.youtube.com/watch?v=VPEt_3OrTPo,0.37,TRUE
bb seal row,BB Seal Row,https://www.youtube.com/watch?v=12y8LwIpGoo,1.00,false
Seated Hip IR's w/foam roller,,,0.00,TRUE
